FileSizeKB,ExecName,VLEN,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,19.2296,4.4551,3045131.2700,717394.9691,2008.9200,2.7988,19.2204,4.4548
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,8.0789,1.4230,3086990.0200,793191.0520,465.7700,2.2487,8.0748,1.4226
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,7.6449,1.7110,3200372.3100,767331.6700,465.6200,2.3570,7.6409,1.7115
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,6.5841,2.8165,3289972.5300,787865.0575,465.3200,2.6263,6.5794,2.8176
2048,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,5.0745,1.4523,3199458.6200,742834.3228,310.2300,2.2038,5.0699,1.4518
2048,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,4.6125,1.6905,3089559.9300,736197.9768,310.2000,2.0346,4.6083,1.6915
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,20.1637,4.1777,2960755.9200,771227.6836,2009.2800,3.0824,20.1541,4.1776
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,7.7198,1.8310,3305243.4300,1084738.3370,465.7900,2.1785,7.7151,1.8307
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,8.0717,1.5731,3315636.6800,672352.1153,465.5800,2.5891,8.0679,1.5732
2048,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,6.9092,2.6227,3235554.9000,675712.4827,465.7000,2.0322,6.9042,2.6235
4096,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,5.3694,1.1478,3234505.8800,723039.6250,310.2700,2.3274,5.3652,1.1480
4096,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,5.1747,1.5317,3385798.4800,1050691.3511,310.4700,2.1929,5.1705,1.5313
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,19.8287,4.5640,3055764.9400,820012.4380,2008.8500,2.9167,19.8191,4.5640
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,7.5732,2.0404,3182840.9700,770645.1603,465.3500,2.4632,7.5683,2.0401
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,6.5747,2.8112,3290370.1200,624800.2134,465.6400,2.4311,6.5707,2.8127
4096,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,7.5357,1.7650,3154902.2400,795271.5080,464.8700,2.2612,7.5312,1.7647
8192,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,5.1397,1.2065,3189106.5800,745494.2399,310.0500,2.0168,5.1365,1.2064
8192,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,4.9380,1.4655,3123225.3900,761154.3488,310.3000,2.1886,4.9341,1.4665
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,20.4645,4.0065,3245544.4800,627294.3783,2008.3700,2.9653,20.4549,4.0055
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,7.6598,1.7844,3281804.7100,894883.7891,465.2700,2.3868,7.6555,1.7845
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,7.2439,2.4560,3167185.0200,864896.1990,465.6800,2.3994,7.2400,2.4562
8192,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,7.5653,1.9308,3094360.3700,860723.3523,465.6500,2.0850,7.5609,1.9305
10240,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_x86,NaN,5.2205,1.2865,3256405.8600,698089.3763,310.1300,2.2919,5.2171,1.2865
10240,ulimit -v 8388608; taskset -c 0-3 ./aes_gcm_avx2,NaN,5.1831,1.3980,3317698.8900,718162.3795,310.4400,2.2285,5.1794,1.3979
10240,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./aes_gcm_riscv,NaN,20.5243,3.9890,3024648.4300,705644.3799,2008.5200,3.0544,20.5141,3.9888
10240,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./aes_gcm_riscv_v,256,7.4151,2.2529,3205319.2300,650878.3977,465.3200,2.3318,7.4099,2.2529
10240,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./aes_gcm_riscv_v,512,7.7548,1.5923,3041777.1600,824459.7203,465.0400,2.3448,7.7508,1.5932
10240,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./aes_gcm_riscv_v,1024,7.5175,1.8120,3127122.0900,779929.8975,465.4000,2.3579,7.5138,1.8125
