FileSizeKB,ExecName,VLEN,TaskClock,TaskClock_StdDev,Cycles,Cycles_StdDev,PageFaults,PageFaults_StdDev,CpuClock,CpuClock_StdDev
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,2.8821,2.1489,3216242.3900,661302.2104,465.3000,2.4269,2.8772,2.1489
64,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,7.7951,1.6344,3243584.0500,723169.9408,465.4500,2.2732,7.7912,1.6340
96,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,5.4563,1.7147,3152048.7100,794799.5302,327.8700,2.1478,5.4517,1.7143
96,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,3.7818,2.1273,3118985.7900,680298.5387,327.6700,2.0496,3.7767,2.1280
96,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,19.6611,4.9469,2938922.5600,857673.1325,2009.2400,2.9090,19.6516,4.9458
96,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,7.8568,1.7219,3198818.5500,763819.7736,465.1400,2.2848,7.8527,1.7219
96,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,7.5183,1.8636,3225007.0200,792048.8817,465.2700,2.2038,7.5139,1.8641
96,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,4.8677,3.2268,3065211.1700,654122.9078,465.3700,2.3351,4.8625,3.2275
128,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,1.4932,.2416,3369914.7600,693533.3695,327.8800,2.0653,1.4881,.2400
128,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,1.3438,.1019,3354372.7400,535501.2498,328.3200,1.9893,1.3385,.1029
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,6.1024,1.9811,3264919.6600,705276.9553,2008.4800,2.9781,6.0957,1.9806
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,1.8174,.1232,3257277.8000,702710.0259,465.1400,2.3665,1.8128,.1252
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,2.4348,1.7429,3329287.9800,689597.7161,465.0800,2.2745,2.4287,1.7419
128,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,2.7712,2.2202,3359760.6100,517248.8205,465.1500,2.5074,2.7660,2.2201
256,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,6.3907,1.7126,3251610.3100,763677.3269,327.5400,2.1373,6.3864,1.7132
256,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,5.5344,1.5222,3164759.6700,802447.7463,327.8700,2.1984,5.5306,1.5222
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,17.8578,5.8999,2992335.8100,692538.6030,2008.7500,2.6809,17.8484,5.8983
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,1.9050,.6660,3264499.3500,731080.5110,465.3200,2.1207,1.8995,.6655
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,4.4003,2.9774,3266059.3000,674482.9861,464.9700,2.6474,4.3952,2.9777
256,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,8.0478,1.5230,3219338.9000,729163.3273,465.5000,2.3216,8.0433,1.5234
384,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,6.9930,2.0104,3206314.8800,809439.2586,327.7900,2.0942,6.9885,2.0118
384,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,5.8267,1.4049,3221453.7400,793794.7480,327.9700,2.2559,5.8227,1.4051
384,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,6.1445,1.9551,3278071.8100,716078.4719,2008.5300,3.2138,6.1366,1.9555
384,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,7.7798,2.0018,3382275.3000,721918.9976,465.4400,2.4303,7.7765,2.0017
384,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,7.1676,2.1695,3221442.5800,694215.2206,465.3400,2.3715,7.1634,2.1692
384,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,4.5167,3.2034,3414387.0200,976693.0394,465.7000,2.2649,4.5114,3.2042
512,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,4.0987,3.0978,3295509.7600,682922.3219,328.0200,2.1724,4.0931,3.0980
512,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,6.1577,1.3106,3325825.5300,636219.2060,327.2700,2.1718,6.1526,1.3106
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,19.8178,3.9412,3011528.2500,754548.9889,2008.8000,2.9291,19.8075,3.9401
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,7.9742,1.6510,3195825.0600,722645.8672,465.4800,2.0951,7.9695,1.6515
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,7.0833,2.4811,3330814.5400,812722.9885,465.1800,2.7069,7.0788,2.4811
512,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,4.4656,2.9749,3228852.9000,704630.5156,465.3900,2.0634,4.4606,2.9758
768,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,2.1611,.1442,3405641.9300,626974.7992,327.8900,2.1535,2.1555,.1442
768,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,6.0439,1.7280,3383417.6900,1191950.5238,327.7600,2.1029,6.0389,1.7282
768,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,20.1211,4.1073,3079602.6600,813419.2836,2008.7400,2.8622,20.1119,4.1067
768,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,7.4066,2.1618,3333784.8100,698856.3573,465.4100,2.1775,7.4019,2.1626
768,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,2.3851,1.7776,3253696.5300,661964.9630,465.6800,2.4119,2.3800,1.7780
768,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,8.2131,1.3815,3354184.8400,730373.2208,465.2800,2.3625,8.2097,1.3824
1024,ulimit -v 8388608; taskset -c 0-3 ./b3_x86,NaN,4.3310,3.6785,3281577.6600,643840.4494,327.6000,2.1908,4.3251,3.6791
1024,ulimit -v 8388608; taskset -c 0-3 ./b3_avx2,NaN,4.0851,2.6637,3312915.9900,631752.6565,327.5800,2.2679,4.0801,2.6648
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x -m8192 ./b3_riscv,NaN,9.9761,6.6913,3263207.3500,731615.0500,2008.6400,2.4638,9.9682,6.6896
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=256 -m8192 ./b3_riscv_v,256,7.1892,2.4026,3205036.5700,715579.4165,465.7800,2.1613,7.1843,2.4032
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=512 -m8192 ./b3_riscv_v,512,7.8380,1.7353,3251290.2200,777200.8367,465.3800,2.1669,7.8335,1.7365
1024,taskset -c 0-3 spike --isa=rv64gcv_zve32x_vlen=1024 -m8192 ./b3_riscv_v,1024,8.0298,1.5203,3274156.5300,714030.3423,465.4500,2.3254,8.0253,1.5204
